id,label,message,cleaned_text,text_length,word_count
24,0,ipad便随身电脑利器——键盘~适合iPadair,ipad 随身 电脑 利器 键盘 适合 iPadair,27,7
25,0,喜欢?那我明天下班买给你,喜欢 明天 下班,8,3
26,0,温馨提示：截止07月25日19时，您当月3G主套餐内流量已使用270.02MB，剩余流量29.98MB，超出部分国内流量（不含港澳台）将按0.0003元/KB收费。xxx，建议您选购流量叠加包，当月申请立即生效，逐月自动续订。（发送LJKT3GLL，可了解套餐详情并完成订购）。 登录xx手机营业厅xxx，查询、交费、充值，方便又实惠!,温馨 提示 截止 07 25 19 当月 3G 套餐 流量 使用 270 02MB 剩余 流量 29 98MB 超出 部分 国内 流量 港澳台 KB 收费 xxx 建议您 选购 流量 叠加 当月 申请 立即 生效 逐月 自动 续订 发送 LJKT3GLL 了解 套餐 详情 完成 订购 登录 xx 手机 营业厅 xxx 查询 交费 充值 方便 实惠,174,53
27,0,2015年大x山龙眼蜂蜜文化节8/1已在大x山风景区xx公园热闹展开,龙眼 蜂蜜 文化节 风景区 xx 公园 热闹 展开,25,8
28,0,糖尿病、心脑血管病、肾病患者和刚剧烈运动完的人，都不是很建议马上坐下,糖尿病 心脑血管病 肾病 患者 剧烈运动 不是 建议 马上 坐下,32,9
29,0,我看完差点把电脑砸了~~笑死我了,差点 电脑,5,2
30,0,明天我就准备坐飞机去玩啦,明天 准备 坐飞机,9,3
31,0,没想到，多吃胡萝卜还能抑制诱发癌症基因的突变,没想到 胡萝卜 抑制 诱发 癌症 基因 突变,22,7
32,0,我找真相的速度永远都比不过你们撕逼的速度,真相 速度 永远 不过 速度,14,5
35,0,如果问我来南京的哪天是最无聊的，我无可奉告,南京 哪天 无聊 无可奉告,13,4
36,0,飞机的滑行与制动要求轮胎具备良好的防水滑功能,飞机 滑行 制动 要求 轮胎 具备 良好 防水 功能,26,9
37,0,今年的好xx真不用听下去了,今年 xx 不用 下去,11,4
38,0,像个不保修的太空机器人遭遇了陨石碎片撞击一样全身都散架了,保修 太空 机器人 遭遇 陨石 碎片 撞击 一样 全身 散架,30,10
39,0,"你竟然不认识xxx,他是英国17世纪著名的生理学家和医生",竟然 认识 xxx 英国 17 世纪 著名 生理学家 医生,29,9
40,0,职工可向劳动部门依法投诉、举报,职工 劳动部门 依法 投诉 举报,16,5
41,0,睡觉前一顿180ml奶直到早上起床再喝一顿奶,睡觉 一顿 180ml 直到 早上 起床 一顿,23,7
42,0,到官网投票internationalartist,官网 投票 internationalartist,25,3
43,0,现在紧接着又是frank的展览,现在 紧接着 frank 展览,15,4
44,0,有建筑设计活在西伯利亚的“确凿,建筑设计 活在 西伯利亚 确凿,15,4
45,0,但愿步过瞻仰/你亦明白/看穿真相/尚有些仗/全力亦打不上,但愿 步过 瞻仰 明白 看穿 真相 有些 全力,23,8
46,0,predictionio去不了了,predictionio 不了,15,2
47,0,朋友圈设置为分组可见或分组不可见的帖子可不可以再次设置为公开啊,朋友圈 设置 分组 可见 分组 可见 帖子 可不可以 再次 设置 公开,35,11
49,0,xxxxxxxx同学表示将不负学校的培育,xxxxxxxx 同学 表示 不负 学校 培育,23,6
50,0,【xx】027440（xx登录验证码），此验证码只用于登录你的xx，提供给他人可能导致xx被盗，请勿转发。,xx xx 登录 验证码 验证码 用于 登录 xx 提供 他人 可能 导致 xx 被盗 请勿 转发,49,16
51,0,【xx科技】599846xxx验证码，15分xxx，xxx，请勿告知他人。,xx 科技 xxx 验证码 15 xxx xxx 请勿 告知 他人,33,10
52,0,【xx】Κωδικός επαλήθευσης xxxxxID:  907002  (Μην τον κοινοποιήσετε σε κανένα άλλο άτομο.),xx xxxxxID,10,2
53,0,【xxxx】你好，你的验证码是184991,xxxx 你好 验证码,11,3
54,0,sc112002,sc,2,1
55,0,05发生信用违规行为，信用分值有扣减。请登录xx推广账户查看更多信息,05 发生 信用 违规行为 信用 分值 扣减 登录 xx 推广 账户 查看 信息,40,13
56,0,Your verification code: 1922,Your verification code,22,3
57,0,【xx】xx验证码:308313,xx xx 验证码,9,3
58,0,【xxx】您本次的验证码是：885028。3分xxx，请妥善保管!,xxx 本次 验证码 xxx 妥善 保管,20,6
59,0,【完美xx】您的验证码是253025。如非本人操作，请忽略本短信,完美 xx 验证码 如非 本人 操作 忽略 短信,24,8
60,0,【xx】你的验证码是237253，此验证码用于登录知乎或重置密码。10分xxx。,xx 验证码 验证码 用于 登录 知乎 重置 密码 10 xxx,32,10
61,0,，对应功能的API调用也将无法使用；资源使用（不包括控制台操作）不受影响。请留意您的业务情况，如有操作请避开升级时间进行，相关事宜做好,对应 功能 API 调用 无法 使用 资源 使用 包括 控制台 操作 影响 留意 业务 情况 操作 避开 升级 时间 相关 事宜 做好,67,22
62,0,【xx大作战】验证码:916366。此验证码仅用于忘记xx大作战用户名、密码后的找回操作，请妥善保管。如非本人操作请立即修改游戏密码,xx 作战 验证码 验证码 用于 忘记 xx 作战 用户名 密码 找回 操作 妥善 保管 如非 本人 操作 立即 修改 游戏 密码,65,21
63,0,【交xxx】您正在登录交xxx，验证码：063200，10分xxx。xxx，如非本人，请勿泄露！,xxx 正在 登录 xxx 验证码 10 xxx xxx 如非 本人 请勿 泄露,40,12
64,0,【猪xx网】您收到一条xx电商回复的新消息，微信关注xxx”或下载猪xxxAPP，保证沟通顺畅。 退订回T,xx 收到 一条 xx 电商 回复 消息 微信 关注 xxx 下载 xxxAPP 保证 沟通 顺畅 退订,52,16
65,0,【xx】验证码为948917，您正在进行找回密码手机验证！,xx 验证码 正在 找回 密码 手机 验证,21,7
66,0,"【xxxx】您的短信验证码是1373,若非本人发送，请忽略此短信,30分xxx",xxxx 短信 验证码 若非 本人 发送 忽略 短信 30 xxx,33,10
67,0,【xxx】1346为您的登录验证码，请于1分xxx。如非本人操作，请忽略本短信。,xxx 登录 验证码 请于 xxx 如非 本人 操作 忽略 短信,32,10
68,0,"【xx蛋糕】xxx, 若修改或取消请于配送前一天12点前致电xxxxxxxx",xx 蛋糕 xxx 修改 取消 配送 前一天 12 点前 致电 xxxxxxxx,40,11
69,0,"【交xxx】您出售的(担保)5,0000两银子，买家已催促您尽快发货1次，请尽快上线配合发货！",xxx 出售 担保 银子 买家 催促 尽快 发货 尽快 上线 配合 发货,36,12
70,0,【x通知】您的验证码是190957，在2分钟内输入有效。如非本人操作请忽略此短信。,通知 验证码 分钟 输入 有效 如非 本人 操作 忽略 短信,30,10
71,0,【网xxxx】xxx（若非本人操作，请删除本短信）,xxxx xxx 若非 本人 操作 删除 短信,23,7
72,0,【xxx先生】您的验证码是：763167。请不要把验证码泄露给其他人,xxx 先生 验证码 不要 验证码 泄露 其他人,24,7
73,0,【xxxxGame】您的验证码为：904249，该验证码 10 分xxx，请勿泄漏！,xxxxGame 验证码 验证码 10 xxx 请勿 泄漏,29,7
74,0,【xx影视APP】您的验证码是4039。如非本人操作，请忽略本短信,xx 影视 APP 验证码 如非 本人 操作 忽略 短信,28,9
75,0,【xxxx吃喝】您的验证码是178752，3分xxx。我司不会以任何名义收取会员费、服务费，请您谨防电信诈骗。有疑请拨打xxxxxxxx,xxxx 吃喝 验证码 xxx 我司 不会 任何 名义 收取 会员费 服务费 谨防 电信 诈骗 有疑 拨打 xxxxxxxx,62,17
76,0,"xxxxverification code (6869) may only be used once to verify mobile number. For account safety, don&#39;t forward the code to others.",xxxxverification code may only be used once to verify mobile number For account safety don 39 forward the code to others,120,21
77,0,"【快xxxx转】您的短信验证码是3119,若非本人发送，请忽略此短信,30分xxx",xxxx 短信 验证码 若非 本人 发送 忽略 短信 30 xxx,33,10
78,0,【房xxxx】验证码4078，当日内有效。如非本人操作，回复TD退阅。09:37:53。,xxxx 验证码 当日 有效 如非 本人 操作 回复 TD 退阅 09 37 53,41,13
79,0,【大xxx商城】您的短信验证码是411146。有效期10分钟，请勿泄漏。,xxx 商城 短信 验证码 有效期 10 分钟 请勿 泄漏,29,9
80,0,【xxxxx遇】你的验证码：3348，有效期5分钟，请勿泄露。如非本人操作，请忽略此短信。xxx！,xxxxx 验证码 有效期 分钟 请勿 泄露 如非 本人 操作 忽略 短信 xxx,41,12
81,0,cn/5vO27da【xxxx科技】,cn 5vO27da xxxx 科技,18,4
82,0,【xx证券】【模拟炒股】手机注册验证码：699912，请勿向任何人提供短信验证码。,xx 证券 模拟 炒股 手机 注册 验证码 请勿 任何人 提供 短信 验证码,38,12
83,0,【xx】您的验证码是 303384，10分xxx，请勿泄露。,xx 验证码 10 xxx 请勿 泄露,19,6
84,0,【xxx】您好，您的验证码是:657254，二十分xxx。,xxx 您好 验证码 二十分 xxx,18,5
85,0,"【xx玩转】您的短信验证码是0472,若非本人发送，请忽略此短信,30分xxx",xx 玩转 短信 验证码 若非 本人 发送 忽略 短信 30 xxx,34,11
86,0,G-319343 é seu código de verificação do xxxxxle.,seu digo de verifica do xxxxxle,31,6
87,0,【xx趣】验证码:744114，请勿泄露。,xx 验证码 请勿 泄露,12,4
88,0,【xxxx】您的验证码1267，该验证码5分xxx，请勿泄漏xxx！,xxxx 验证码 验证码 xxx 请勿 泄漏 xxx,26,7
89,0,【xxxx】您的验证码：320907，您正进行身份验证，若非您本人操作，请及时修改密码。,xxxx 验证码 身份验证 若非 本人 操作 及时 修改 密码,31,9
90,0,"?【xxx货币】尊敬的用户您好,您本次验证码为:617061。",xxx 货币 尊敬 用户 您好 本次 验证码,22,7
91,0,【xxxx coffee】验证码 ：364607，10分钟后即失效，赶紧和xxxx打个招呼吧！,xxxx coffee 验证码 10 分钟 失效 赶紧 xxxx 打个招呼,37,9
92,0,"xxxxverification code (002411) may only be used once to verify mobile number. For account safety, don't forward the code to others.",xxxxverification code may only be used once to verify mobile number For account safety don forward the code to others,117,20
93,0,【xxx通】尊敬的用户，您的手机验证码为：4605，此验证码五分xxx,xxx 尊敬 用户 手机 验证码 验证码 五分 xxx,27,8
94,0,"【xx转x】您的短信验证码是3079,若非本人发送，请忽略此短信,30分xxx",xx 短信 验证码 若非 本人 发送 忽略 短信 30 xxx,31,10
95,0,【xxxx回收】您的验证码是：492156，千万不要告诉他人！如非本人操作，请忽略此信息。,xxxx 回收 验证码 千万 不要 告诉 他人 如非 本人 操作 忽略 信息,38,12
96,0,【xx科技】你正在登录微信，验证码022446。xxx。如果这不是你本人操作，回复JZ可阻止该用户登录你的xx。,xx 科技 正在 登录 微信 验证码 xxx 不是 本人 操作 回复 JZ 阻止 用户 登录 xx,49,16
97,0,"【xxxx游网】尊敬的用户:您好！您正在进行手机验证操作,请输入短信验证码:759977,完成验证.",xxxx 游网 尊敬 用户 您好 正在 手机 验证 操作 输入 短信 验证码 完成 验证,44,14
98,0,[xxxxtv]verificationcode:541295,xxxxtv verificationcode,23,2
